,pickup_community_area,dropoff_community_area,No_Of_Trips,Plat,Plong,Dlat,Dlong,Pickup_Com,Dropoff_Com
0,32,8,152656,41.880966886322796,-87.62698052780821,41.896015927165806,-87.62792120510538,The Loop ,Near North Side 
1,8,32,140459,41.89607255587263,-87.62805548090238,41.88080961254107,-87.62706041175967,Near North Side ,The Loop 
2,32,28,67040,41.880966886322796,-87.62698052780821,41.87990712112018,-87.65071606033288,The Loop ,Near West Side 
3,8,28,63313,41.89607255587263,-87.62805548090238,41.87990712112018,-87.65071606033288,Near North Side ,Near West Side 
4,28,8,54009,41.879772530123134,-87.65004509440064,41.896015927165806,-87.62792120510538,Near West Side ,Near North Side 
5,28,32,45810,41.879772530123134,-87.65004509440064,41.88080961254107,-87.62706041175967,Near West Side ,The Loop 
6,8,7,36919,41.89607255587263,-87.62805548090238,41.92171135665718,-87.64547978793281,Near North Side ,Lincoln Park 
7,76,8,32351,41.97946493351028,-87.90653078880072,41.896015927165806,-87.62792120510538,O Hare ,Near North Side 
8,8,6,28767,41.89607255587263,-87.62805548090238,41.94394290085625,-87.6543955870541,Near North Side ,Lake View 
9,32,33,27502,41.880966886322796,-87.62698052780821,41.856659755807144,-87.61949773883488,The Loop ,Near South Side 
