,Area,Leaving Time,Method,Nrow/Freq,Time to Reach,Pickup_Community_Area,Avg_P_Lat,Avg_P_Long,Community_Name,Community_Area
0,1,1:41 PM,Mode,21,19.0,1,42.00950550152438,-87.67020824037898,Rogers Park ,1
1,2,1:34 PM,Average,133,26.0,2,42.00155583559226,-87.6950076361797,West Ridge ,2
2,3,1:49 PM,Mode,218,11.0,3,41.965684960000395,-87.65571728840276,Uptown ,3
3,4,1:39 PM,Mode,22,21.0,4,41.97509061716926,-87.68747892887491,Lincoln Square ,4
4,5,1:43 PM,Mode,38,17.0,5,41.947840177904126,-87.68379236413081,North Center ,5
5,6,1:49 PM,Mode,1400,11.0,6,41.94425505739939,-87.65480367717183,Lake View ,6
6,7,1:51 PM,Mode,1916,9.0,7,41.921585989357055,-87.64563041888879,Lincoln Park ,7
7,8,1:55 PM,Mode,28085,5.0,8,41.89607255587263,-87.62805548090238,Near North Side ,8
8,9,1:30 PM,Average,2,30.0,9,42.00761259299998,-87.81378103399999,Edison Park ,9
9,10,1:34 PM,Average,18,26.0,10,41.98498092863366,-87.80451371128937,Norwood Park ,10
10,11,1:34 PM,Average,39,26.0,11,41.978782117390494,-87.77110741147403,Jefferson Park ,11
11,12,1:28 PM,Average,10,32.0,12,41.99393012800007,-87.75835358800023,Forest Glen ,12
12,13,1:32 PM,Average,9,28.0,13,41.9836363070001,-87.72358318499984,North Park ,13
13,14,1:44 PM,Mode,42,16.0,14,41.96807447426559,-87.72156681460538,Albany Park ,14
14,15,1:34 PM,Average,28,26.0,15,41.95402764900045,-87.76339903200112,Portage Park ,15
15,16,1:42 PM,Mode,12,18.0,16,41.95357749467667,-87.72349891395788,Irving Park ,16
16,17,1:31 PM,Average,4,29.0,17,41.94651142000014,-87.80602000200038,Dunning ,17
17,18,1:24 PM,Average,14,36.0,18,41.929297368000015,-87.79803218100004,Montclare ,18
18,19,1:30 PM,Average,16,30.0,19,41.927260955999714,-87.7655016089995,Belmont Cragin ,19
19,20,1:35 PM,Average,14,25.0,20,41.92434707699993,-87.73473975399983,Hermosa ,20
20,21,1:47 PM,Mode,11,13.0,21,41.938676576847094,-87.71122031569917,Avondale ,21
21,22,1:49 PM,Mode,120,11.0,22,41.92250493048019,-87.69831049063843,Logan Square ,22
22,23,1:41 PM,Average,52,19.0,23,41.90006960300047,-87.72091823800083,Humboldt Park ,23
23,24,1:52 PM,Mode,914,8.0,24,41.901237391843736,-87.67428254177103,West Town ,24
24,25,1:37 PM,Average,3,23.0,25,41.890608853000174,-87.75604671099984,Austin ,25
25,26,1:45 PM,Average,2,15.0,26,41.87859435800004,-87.73023242799995,West Garfield Park ,26
26,27,1:45 PM,Average,9,15.0,27,41.878914495999844,-87.70589712999961,East Garfield Park ,27
27,28,1:50 PM,Mode,5733,10.0,28,41.879772530123134,-87.65004509440064,Near West Side ,28
28,29,1:38 PM,Average,10,22.0,29,41.860190018999916,-87.71722009999984,North Lawndale ,29
29,30,1:35 PM,Average,16,25.0,30,41.8390869060002,-87.71400380699959,South Lawndale ,30
30,31,1:42 PM,Mode,11,18.0,31,41.850305183960124,-87.66751047151396,Lower West Side ,31
31,32,1:53 PM,Mode,17207,7.0,32,41.880966886322796,-87.62698052780821,The Loop ,32
32,33,1:45 PM,Mode,1383,15.0,33,41.85623040481559,-87.61971340401932,Near South Side ,33
33,34,1:45 PM,Mode,49,15.0,34,41.84009529358764,-87.63377681807944,Armour Square ,34
34,35,1:41 PM,Mode,24,19.0,35,41.83513282081623,-87.61867378846553,Douglas ,35
35,36,1:41 PM,Average,19,19.0,36,41.82376109936453,-87.60237325559822,Oakland ,36
36,37,1:29 PM,Average,8,31.0,37,41.80908442999999,-87.63242452400009,Fuller Park ,37
37,38,1:36 PM,Average,26,24.0,38,41.81294893900035,-87.61785967600007,Grand Boulevard ,38
38,39,1:44 PM,Mode,38,16.0,39,41.80884905203156,-87.59598858021869,Kenwood ,39
39,40,1:33 PM,Average,6,27.0,40,41.792357223000124,-87.61793138000016,Washington Park ,40
40,41,1:42 PM,Mode,101,18.0,41,41.79340148786572,-87.59110958463154,Hyde Park ,41
41,42,1:35 PM,Average,14,25.0,42,41.778876860000224,-87.5949254389998,Woodlawn ,42
42,43,1:36 PM,Average,38,24.0,43,41.76157790800032,-87.57278198700061,South Shore ,43
43,44,1:25 PM,Average,11,35.0,44,41.74020575599994,-87.61596952300032,Chatham ,44
44,45,1:31 PM,Average,4,29.0,45,41.744199535,-87.58634831800006,Avalon Park ,45
45,46,1:27 PM,Average,5,33.0,46,41.74124272800002,-87.55142819700009,South Chicago ,46
46,49,1:25 PM,Average,1,35.0,49,41.70658788199993,-87.6233665119999,Roseland ,49
47,50,1:35 PM,Average,2,25.0,50,41.70612575200002,-87.59825583800006,Pullman ,50
48,52,1:16 PM,Average,1,44.0,52,41.70731144900002,-87.53490290099995,East Side ,52
49,53,1:25 PM,Average,1,35.0,53,41.673819903999984,-87.63573977700001,West Pullman ,53
50,54,1:7 PM,Average,1,53.0,54,41.660136051,-87.60284764,Riverdale ,54
51,56,1:28 PM,Mode,443,32.0,56,41.78815616448455,-87.75704716635484,Garfield Ridge ,56
52,57,1:35 PM,Average,4,25.0,57,41.81087900800002,-87.72636332499998,Archer Heights ,57
53,58,1:33 PM,Average,10,27.0,58,41.81736620799993,-87.6988607969999,Brighton Park ,58
54,59,1:39 PM,Average,11,21.0,59,41.830289200122515,-87.67340603202058,McKinley Park ,59
55,60,1:39 PM,Average,102,21.0,60,41.83617826696554,-87.64875168385099,Bridgeport ,60
56,61,1:32 PM,Average,13,28.0,61,41.80901825,-87.65916659900084,New City ,61
57,62,1:27 PM,Average,20,33.0,62,41.79298190300002,-87.72420819400014,West Elsdon ,62
58,63,1:17 PM,Average,3,43.0,63,41.79543063100003,-87.69643523200008,Gage Park ,63
59,64,1:24 PM,Average,9,36.0,64,41.779582888000014,-87.76851084900005,Clearing ,64
60,65,1:24 PM,Average,3,36.0,65,41.76977805899997,-87.72692984200009,West Lawn ,65
61,66,1:25 PM,Average,4,35.0,66,41.77184851500004,-87.69566634200007,Chicago Lawn ,66
